Nid;Name;description;Project country;Funding area
1272;School Fruit and Vegetables Scheme - Lithuania;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;LT;Agriculture and Rural Development
1273;School Fruit and Vegetables Scheme - Luxembourg;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;LU;Agriculture and Rural Development
1274;School Fruit and Vegetables Scheme - Malta;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;MT;Agriculture and Rural Development
1275;School Fruit and Vegetables Scheme - Netherlands;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;NL;Agriculture and Rural Development
1277;School Fruit and Vegetables Scheme - Portugal;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;PT;Agriculture and Rural Development
1278;School Fruit and Vegetables Scheme - Romania;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;RO;Agriculture and Rural Development
1279;School Fruit and Vegetables Scheme - Slovakia;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;SK;Agriculture and Rural Development
1281;School Fruit and Vegetables Scheme - Spain;<p>This programme aims to increase the consumption of fruit and vegetables at school to encourage healthier eating habits, in the context of declining consumption of fresh fruit and vegetables and increasing incidence of child obesity. The distribution of products, mainly fresh fruit and vegetables, is supported by educational measures such as school gardens and farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. EU aid per participating Member State (MS) is established by the Commission for each school year. MS participation is voluntary.</p>;ES;Agriculture and Rural Development
1282;Baltic Deal;<p>The Baltic Deal, a flagship project of the EU Strategy for the Baltic Sea, was set up to tackle one of the region's biggest environmental challenges – farm nutrient run-off into the sea, which stimulates excess plant growth and changes the ecosystem by favouring some species over others. By persuading thousands of farmers to adopt more sustainable farming techniques and water management practices, the Baltic Deal significantly reduced nutrient loss.</p>;LV;Environment & climate
1283;COOL-Coverings: a coating for houses to reduce energy consumption;<p>Developed by a consortium of 14 industrial and research partners from eight European countries, COOL-Coverings are coatings and surface layers incorporating nanoparticles and micro- or nano-sized pigments. These new coatings for houses are set to send energy bills plummeting and help fight climate change.</p>;ES;Research & innovation
1285;Stepping into work;<p>In Seville, Spain, the European Social Fund has been supporting a scheme helping young people to get basic awareness of working life and to find placements in local companies – a crucial first step into work. The Professional Experience to Employment programme (EPES) targeted: people under 30, long-term unemployed and immigrants.</p>;ES;Business
1295;Be linen;<p>Under the common agricultural policy (CAP), the EU cofinances the promotion of European linen, the number 1 in the world with 85% of the worldwide production of scutched flax fibers. Cultivation and scutching represent more than 7 500 agricultural companies within 14 European countries. Be linen is a three year long programme concentrated on high-end professionals and opinion leaders of three countries (France, Italy, Belgium) with various targets: fashion, interior design and lifestyle. It is co-financed at 50% by the EU with EUR 1.7 million over the whole period.</p>;FR;Agriculture and Rural Development
1296;Discover the Origin;<p>By using 5 example products, this promotion campaign's focus is on the Products of Designated Origin - and Products of Geographical Indications schemes. The consumers are informed about what is behind these schemes via different communication channels. They're are also made aware about the stories and characteristics of the example products.</p>;PT;Agriculture and Rural Development
1299;School Milk Scheme - Austria;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;AT;Agriculture and Rural Development
1300;School Milk Scheme - Belgium;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;BE;Agriculture and Rural Development
1301;School Milk Scheme - Bulgaria;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;BG;Agriculture and Rural Development
1302;School Milk Scheme - Czech Republic;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;CZ;Agriculture and Rural Development
1303;School Milk Scheme - Denmark;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;DK;Agriculture and Rural Development
1304;School Milk Scheme - Estonia;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;EE;Agriculture and Rural Development
1305;School Milk Scheme - France;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;FR;Agriculture and Rural Development
1306;School Milk Scheme - Germany;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;DE;Agriculture and Rural Development
1307;School Milk Scheme - Hungary;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;HU;Agriculture and Rural Development
1309;School Milk Scheme - Italy;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;IT;Agriculture and Rural Development
1310;School Milk Scheme - Latvia;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;LV;Agriculture and Rural Development
1311;School Milk Scheme - Lithuania;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;LT;Agriculture and Rural Development
1312;School Milk Scheme - Luxembourg;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;LU;Agriculture and Rural Development
1313;School Milk Scheme - Malta;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;MT;Agriculture and Rural Development
1314;School Milk Scheme - Netherlands;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;NL;Agriculture and Rural Development
1316;School Milk Scheme - Portugal;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;PT;Agriculture and Rural Development
1317;School Milk Scheme - Romania;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;RO;Agriculture and Rural Development
1318;School Milk Scheme - Slovakia;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;SK;Agriculture and Rural Development
1321;School Milk Scheme - Finland;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;FI;Agriculture and Rural Development
1322;School Milk Scheme - Sweden;<p>This programme aims to increase the consumption of dairy products at school to encourage healthier eating habits. The distribution of milk products containing important vitamins and minerals can be supported by educational measures, such as farm visits, to improve children's awareness of how food is produced and the importance of good nutrition. Participation by Member States is voluntary. The scheme strengthens the link between society and agriculture and contributes to shaping healthier diets, in the context of declining consumption of milk and increasing incidence of child obesity.</p>;SE;Agriculture and Rural Development
1327;Wider horizons for Potsdam-Golm Science Park;<p>Potsdam-Golm Science Park is transforming into one of the most innovative and promising locations for scientific research in the state of Brandenburg. In order to support technology transfer and to foster networking between science and the economy, the city of Potsdam created GO:IN, the Golm Innovation Centre, co-financed by the ERDF. Since the mid-1990s, the science park has grown to host three Max Planck institutes, two Fraunhofer Gesellschaft institutes, an incubation centre (GO:IN) and many innovation-oriented businesses.</p>;DE;Research & innovation
1328;Lowering barriers to green technologies uptake;<p>More than 300 small businesses in Flanders have benefited from professional advice, coaching and operational training on sustainable technologies at the Prodem centre in Mol in the north-east of Belgium. Launched in 1996, the project has been renewed several times, partly financed with European funds. The project is hosted by VITO, the Flemish Institute for Technological Research. It supports small businesses in taking the step towards sustainable production by setting up demonstration projects and feasibility studies.</p>;BE;Business
1455;Tourism Business Portal;<p>The Tourism Business Portal is a one-stop-shop platform for existing businesses or start-ups to learn more about setting up, managing, promoting and expanding their businesses on European and international markets. It provides up-to-date information, digital tools and e-learning, to help entrepreneurs realise that innovative business practices are the keys to success on international online markets.</p>;BE;Business
1459;Cluster facilitated projects for new industrial value chains;<p>The challenge of 'Cluster facilitated projects for new industrial value chains' is to develop new cross-sectoral industrial value chains across the EU by building upon the innovation potential of SMEs. Through this project the EU supports the development of emerging industries, which will provide growth and employment in the future. The development of new industrial value chains also calls for the collaboration and integration of different innovation actors, including large enterprises and especially SMEs, across different sectors towards the implementation of a joint vision.</p>;BE;Business
1465;The power of music;<p>Classical music is helping to open new horizons for hundreds of vulnerable young people in and around the Portuguese capital of Lisbon. A programme called Orquestra Geração, co-funded by the EU, is widening social inclusion through music by attracting young people from underprivileged neighbourhoods to play in an orchestra. All the students who participate are in mainstream education, and the programme prioritises schools with poor attendance and high drop-out rates. The problems that the children face are often related to socio-economic circumstances and multi-cultural difficulties.</p>;PT;Education & training
1484;Captivating experience at Acropolis Museum;<p>The Museum's construction began in 2004 and was finally completed in 2007. On 20 June 2009, this spectacular piece of modern Greek architecture finally opened to the public. The New Acropolis Museum project was not undertaken in isolation. Various other projects at archaeological sites and museums across Greece were carried out in an effort to tap into the wealth of its cultural assets (e.g. Benaki Museum, Byzantium Museums in Athens and Thessaloniki) and use them to contribute to growth, employment and tourism, some of the key goals in the EU 2020 strategy.</p>;GR;Business
1751;Helping to turn Lower Austria into a 'land of technology';<p>Three cities with high-tech facilities in the Lower Austria region are working closely together under the highly successful Technopol Programme. Launched in 2004, this programme has contributed to transforming the economy of the region. This structural shift away from rural activities to making Lower Austria a location for high-tech and innovation has already created gross added value estimated at EUR 191 million and several thousand jobs. Part of this success stems from recent Technopol projects involving on-site universities and small businesses.</p>;AT;Business
1765;Using a city's purchasing power to promote local innovation;<p>The City of Vienna is using the power of its public procurement budget to help support local innovations and entrepreneurs by encouraging them to offer their services to the city and enable Vienna to act as a lead market for innovation. The WienWin project has set out to make Vienna a 'greenhouse' for research and innovation. At its core is a partnership between Vienna's technology agency ZIT and the city administration authorities. It also comprises a network of more than 900 experts in city administration and some 200 local innovative companies.</p>;AT;Business
1772;Fostering sustainable growth in the inner Brussels city;<p>Brussels Sustainable Economy is a Brussels Capital Region initiative designed to stimulate new enterprise, and therefore jobs, based on the  creation of environmentally orientated economic activity. The project is part of a programme to improve conditions in a disadvantaged inner-area of the city alongside the canal, and targets six specific environmental circuits: eco-construction, renewable energy, waste, water, sustainable  food, and green chemistry and green/white biotechnology.</p>;BE;Business
1827;Tradition meets science to promote European health and history;<p>A project in Austria has been launched to protect the traditional healing benefits of plants and herbs before the knowledge is lost. The project is built around the healing knowledge of the Pinzgau district in Salzburg. It aims to develop modern recipes from the regional, traditional healing knowledge of families and individuals in this corner of Central Austria. In this way, workers hope to protect and build on the trust people have in local medicinal plants and their applications.</p>;AT;Research & innovation
1843;EU funds a safer, greener airport in Latvia;<p>Latvia is an increasingly coveted destination. But until recently, the country was in sore need of an airport on par with its new popularity. Thanks to EU support, Riga International Airport has been able to upgrade its facilities significantly, resulting in increased passenger satisfaction, improved safety and environmental conditions, and new jobs.</p>;LV;Business
1846;ROADEX: paving the way for pristine roads in northern Europe;<p>For people and businesses in remote areas of northern Europe, minor roads are a vital lifeline. Yet maintaining safe conditions for users poses a challenge for managing authorities because roads cross regional and national borders, and harsh weather degrades the surfaces. Thanks to the ROADEX Network – co-funded by the EU – the latest technologies and best practices for managing low-volume traffic roads are being shared, raising standards and access.</p>;SE;Business
2066;Bringing business back to the city;<p>The Pieper site is an urban revitalisation project in Liège designed to lure businesses back into the eastern Belgian city. About 1.2 hectares in area, the site has been formed by cleaning two adjoining brownfields, and is a key part of an economic redeployment for the whole region. Unlike traditional business parks usually full of heavy industry on the outskirts of towns, the Pieper site is fully integrated into the urban environment.</p>;BE;Business
2068;Smoother rail transport across Slovakia;<p>Railway passenger transport across Slovakia is to get a boost, thanks to a major upgrade to rolling stock. The new or modernised vehicles will serve a target population of around 4.8 million, mainly inhabitants of the various regions who commute from the regional and suburban areas into the centres of economic and social activity. Today, some 80 000 passengers on average travel every day by rail to and from the six centres (Trnava, Trenčín, Nitra, Žilina, Košice and Humenné).</p>;SK;Transport
2070;Keeping the coast clear;<p>The coastal region of central Portugal will soon be a flagship region when it comes to handling solid waste generated in urban areas, as a result of new facilities for transporting, processing and recycling the waste. The geographical area covered includes 36 municipalities and their 970 000 residents. Apart from the multi-municipal system itself, 87 new jobs will be created during the operational phase of the facilities' lifetime.</p>;PT;Environment & climate
2072;Developing 'technopoles' as hubs of innovation;<p>The technopoles project comprises a network of ten research sites for technological transfer in the Emilia-Romagna region of Italy. Incorporating six universities and four research institutes with 34 industrial research laboratories and eleven innovation centres, these ten 'technopoles', which will be equipped with laboratories and incubators, are expected to become hubs of industrial innovation and launch pads for high-tech enterprises.</p>;IT;Research & innovation
2073;A multifunctional ship to tackle marine pollution in Estonia;<p>A multifunctional ship has been procured for Estonia to deal with incidents of marine pollution in Estonian waters and other parts of Baltic Sea. The ship is capable, under normal conditions, of removing the source of marine pollution within 48 hours. Under the care of the Estonian Police and Border Guard Board, it also monitors and supervises the marine environment, helping to prevent potential disasters.</p>;EE;Environment & climate
2075;Sludge energy in southern Luxembourg;<p>This project is part of efforts to work with nature, not against it, by drying wastewater sludge using solar power, resulting in annual CO2 reductions of 1 000 tonnes. The process takes place in eight large glasshouse-type constructions in Bettembourg, where the dried sludge is compressed into bricks to produce heat. A massive 6 500 tonnes of sludge will be dried every year, resulting in about 2 500 heating bricks.</p>;LU;Environment & climate
2079;Gironde firmly on the digital map;<p>This project involves setting up a digital communications network for residents in dead spots in Gironde, as well as companies in business parks and local public authorities. The new high-speed digital network is available to operators under transparent, objective and non-discriminatory conditions via an operator of operators. The key features of the new service are equal access, continuity and adaptability (e.g. guaranteed availability) and equal treatment of users.</p>;FR;Research & innovation
2080;Clear vision drives initiative for a sustainable optics industry;<p>Thuringia is renowned for its optics and opto-electronics sector, which comprises some 170 companies, mostly SMEs, with a turnover of EUR 2.6 billion. The region is also the traditional home of OptoNet, a long-established network of companies and research institutions focused on optical technologies, which operates nationally and internationally. OptoNet gave rise to CoOPTICS – a three-year initiative that served as a framework for a series of innovative projects in the optics sector.</p>;DE;Research & innovation
2083;Building bridges between the academic world and business;<p>A project, supported by the ERDF, addressing the weak links between university and business in the Castilla y León region has created a strong partnership (T-CUE) between eight regional universities. Together they encourage companies to take advantage of the knowledge they generate, so as to boost the regional economy and employment. Embracing the region's entire university system, this network is now closely linked to growth in Castilla y León, a cooperative model which could be extended to other EU regions.</p>;ES;Research & innovation
2091;Supporting new cooperation models for the social economy;<p>Led by Italy's Marche Region, the Public Policies and Social Enterprises (PASE) project has helped reinforce public authority support for social enterprises, and strengthened their role as a driving force in regional and local sustainable development. With input from nine partners, it has identified 40 social enterprise models and experiences, and come up with a handful of publications to boost support for social enterprises across the EU, targeting both the private and public sectors.</p>;IT;Business
2098;New outpost of the Louvre museum built on the site of a disused coal mine;<p>In December 2012, the Louvre in Paris, one of the world's largest and most visited art galleries, opened a satellite in in the former coal-mining town of Lens. While most of the satellite branches of famous art galleries have been sited in large cities, the Lens-Louvre museum was built in a town with a population of just 35 000 people. The museum's focus is to serve the people who live in the region and an extensive education programme has been set up to help stimulate local interest in schools and local communities.</p>;FR;Business
2100;Athens Metro system extensions will create jobs and cut pollution;<p>Four projects to extend and improve the Athens Metro system are stimulating the economy and improving air quality in the Greek capital. The metro system, which currently consists of three connecting lines, has, over the last two decades, helped to transform the city's transport by reducing traffic congestion, reducing smog levels and cutting journey times. The extensions of lines 2 and 3 contribute further to improved journey times and the creation of jobs during a period of economic contraction for the Greek economy.</p>;GR;Transport
2101;New combined safety centre for all emergency services speeds up accident response times;<p>Until January 2011 most of the emergency services in the Moravia-Silesia region maintained separate call centres which members of the public had to call in the event of an accident or some other incident necessitating a fast response from the emergency services. Now the previously separate call centres for the emergency services (fire brigade, paramedics, state and municipal police, crisis management, military, customs and regional transport information) have been centralised into a combined emergency response centre.</p>;CZ;Research & innovation
2103;Nurturing new materials with nanotechnology;<p>Operating at the level of atoms and molecules, the work of nanotechnology is invisible to the naked eye. But its ability to modify materials or develop new ones – in sectors as diverse as healthcare and industry – means it can have a big impact. An emerging regional R&D centre in Brno in the South- East of the Czech Republic is pushing the envelope of this technology, developing new applications and educating tomorrow's experts in the subject.</p>;CZ;Research & innovation
2108;New fit-for-purpose homes for children with disabilities;<p>Bulgaria has put in place a national action plan to dismantle 130 large scale children's homes and move all children and young people currently in these institutions into alternative, suitable accommodation, and put in place the necessary support services, within a 15 year time frame.This plan has received funding from the EU of more than EUR 100 million from various funds: the European Regional Development Fund (ERDF), the European Social Fund (ESF) and the European Agricultural Fund for Rural Development (EAFRD).</p>;BG;Research & innovation
2109;New ideas for growth from supporting youth entrepreneurship;<p>For economies to prosper it is vital that all sectors of society are leveraged to bring prosperity, and sometimes the most productive boost to economies come from youth who bring fresh new ideas to the economy. The Grant Scheme for Youth Entrepreneurship programme in Cyprus specifically targeted youth between the ages of 20 to 39 who aspired to do business in a variety of economic sectors ranging from manufacturing, e-commerce, services as well as others, utilising their knowledge, training, talents and other special skill sets.</p>;CY;Business
2111;Getting connected to Riga's water supply and sewerage system;<p>This project is the fourth phase of a longer-term investment programme (running from 1995 to 2025), which centres on improving drinking water and sewerage management systems throughout Riga. Phase four focuses on constructing a new drinking water treatment plant in the Baltezers district, along with extending the water supply and sewerage networks in Marupe, Katlakalns and Bolderaja. The overall programme directly benefits about 700 000 people by providing them with connections to efficient, centralised water supply and wastewater systems.</p>;LV;Environment & climate
2114;Harnessing the potential of Croatia's world famous indigenous cherry;<p>A research project explored new ways to process sour cherries. The Marasca cherry, a type of sour Morello cherry cultivated along Croatia's coast, is reputed to be the world's finest cherry. The project introduces techniques that pave the way for the future development of new food products containing Morasca cherry. This know-how is being transferred to SMEs with the aim of boosting the agri-food industry in the region.</p>;HR;Research & innovation
2115;Supporting biotechnology and life science business start-ups in Croatia;<p>A new Biosciences Technology Commercialisation and Incubation Centre (BIOCentre) has been built on the campus of Zagreb University. It provides R&D and business facilities, expertise, and the services necessary to help set up and support new businesses in biotechnology. The state-of-the-art facilities are targeted at start-up businesses in the field of bioscience and will help to meet companies' needs in terms of infrastructure, incubation support, technology transfer, education, training and networking.</p>;HR;Research & innovation
2117;JIC Innovation Park: A catalyst for innovation and growth in South Moravia;<p>An ERDF-funded business support programme has evolved to become the largest business incubator scheme in the Czech Republic. The JIC Innovation Park is stimulating innovation and entrepreneurship in the fields of IT, software engineering, computer security, machining, bio-technology and robotics as well as other high-technology fields.</p>;CZ;Business
2118;NovaMedTech: A catalyst for the launch of new products and services;<p>NovaMedTech focuses on entrepreneurship in healthcare, academia and business. The project identifies and supports ideas with commercial potential by including coaching and access to networks in order to create new products and services. The project has contributed to the medical technology field of knowledge developed in Eastern Central Sweden with the objective of becoming the national leader in the field. It has already helped to bring over a dozen new products to market, and led to the creation of around 70 new jobs in the region of Eastern Central Sweden.</p>;SE;Research & innovation
2123;Tackling the scourge of youth unemployment;<p>Since the re-unification of Germany, the federal state of Brandenburg has suffered from high levels of youth unemployment particularly in the rural areas close to the border with Poland. The Einstiegszeit programme works by targeting two groups: youths who have completed vocational education and training, and more than 2 100 small- and medium-sized enterprises (SMEs) in their recruitment planning and organisational development.</p>;DE;Education & training
2124;Motivating young people to explore new career opportunities;<p>Limousin is a predominantly rural region of France with high youth unemployment and only a limited number of training opportunities for young people. The SAS project (Springboard for the Active Guidance of Young Job-seekers) specifically targets young people less than 26 years old who have been looking for a job for over a year. The aim is to tackle the loss of confidence that long-term unemployment has on the psyche of young people by engaging them in a three-month intensive programme of job-related activities.</p>;FR;Education & training
2127;Five public transport companies, one goal;<p>Five major European public transport companies (MoBiel, RATP, RET, STIB, TFGM) have united to reduce CO2 emissions through more environmentally friendly behaviour and changes in infrastructure. They want to set low CO2 emissions as the new standard for public transport providers. Transport is the second biggest source of CO2 emissions in the European Union, accounting for 24% of all emissions. Road transport is the main culprit, accounting for 70% of all the transport emissions.</p>;BE;Environment & climate
2128;Restored Sant Pau Art Nouveau site aims to become International City;<p>The UNESCO World Heritage site of Sant Pau is an architectural collection of 19 independent pavilions. Designed by the famous Catalan architect Lluís Domènech i Montaner, it once housed the activities of the Hospital de la Santa Creu i Sant Pau. When in 2009 the healthcare activities were transferred to a new building, the site took on a new role: the hospital's private foundation started work on the restoration of the pavilions and the central promenade, with the aim to create an international hub for research, knowledge dissemination and innovation.</p>;ES;Research & innovation
2132;New laboratories at the Luxembourg Centre for Systems Biomedicine provide boost for biomedical research;<p>The Luxembourg Centre for Systems Biomedicine (LCSB), which opened in 2012, is the result of a strategic partnership between a number of American research institutes, the government of the Grand Duchy of Luxembourg and the University of Luxembourg. The new research centre aims to become a worldwide centre of expertise in molecular medicine and systems biology. The project also involves a significant technological component as the centre will also be involved in research in the field of bioinformatics, among other areas.</p>;LU;Research & innovation
2133;Aspern IQ Technology Centre supports technological innovation for start-ups and young businesses;<p>An initiative co-funded by the European Regional Development Fund has provided the Austrian capital with a new centre of excellence for sustainable scientific and technological innovation.</p>;AT;Business
2134;Technological innovation receives a boost through Mafinex Technologiezentrum;<p>The southern German city of Mannheim has opened a new technology centre, Mafinex Technology Centre, designed to provide incubation space for young start-ups in the fields of science and technology. The centre aims to encourage business and industrial research, development and innovation by providing 4 300 m2 of low-cost office, research and storage space to technology companies. The new centre also includes meeting and seminar room as well as a lecture theatre and an atrium area. Start-up companies can also access professional advice on business plans, marketing and finance.</p>;DE;Business
